C1,C2,C3,C4
8/4/2020,106,543,0.195
9/4/2020,136,608,0.224
10/4/2020,150,596,0.252
11/4/2020,148,597,0.248
12/4/2020,178,576,0.309
13/04/2020,153,562,0.272
14/04/2020,142,481,0.295
15/04/2020,157,540,0.291
16/04/2020,150,541,0.277
17/04/2020,130,540,0.241
18/04/2020,137,539,0.254
19/04/2020,138,539,0.256
20/04/2020,142,548,0.259
21/04/2020,143,548,0.261
22/04/2020,151,545,0.277
23/04/2020,151,558,0.271
24/04/2020,154,558,0.276
25/04/2020,149,563,0.265
26/04/2020,173,563,0.307
27/04/2020,165,563,0.293
28/04/2020,176,563,0.313
29/04/2020,180,543,0.331
30/04/2020,175,543,0.322
1/5/2020,172,543,0.317
2/5/2020,183,543,0.337
3/5/2020,175,547,0.320
4/5/2020,179,547,0.327
5/5/2020,175,559,0.313
6/5/2020,189,569,0.332
7/5/2020,200,557,0.359
8/5/2020,208,553,0.376
9/5/2020,187,565,0.331
10/5/2020,190,562,0.338
11/5/2020,190,557,0.341
12/5/2020,195,568,0.343
13/05/2020,206,582,0.354
14/05/2020,194,584,0.332
15/05/2020,179,591,0.303
16/05/2020,203,593,0.342
17/05/2020,217,610,0.356
18/05/2020,217,613,0.354
19/05/2020,235,634,0.371
20/05/2020,232,638,0.364
21/05/2020,227,638,0.356
22/05/2020,242,646,0.375
23/05/2020,246,648,0.380
24/05/2020,266,665,0.400
25/05/2020,280,668,0.419
26/05/2020,298,668,0.446
27/05/2020,298,668,0.446
28/05/2020,283,668,0.424
29/05/2020,286,670,0.427
30/05/2020,276,670,0.412
31/05/2020,290,670,0.433
1/6/2020,295,670,0.440
2/6/2020,312,670,0.466
3/6/2020,316,670,0.472
4/6/2020,304,674,0.451
5/6/2020,321,712,0.451
6/6/2020,307,716,0.429
7/6/2020,320,716,0.447
9/6/2020,338,722,0.468
10/6/2020,347,716,0.485
11/6/2020,386,722,0.535
12/6/2020,394,722,0.546
13/06/2020,388,724,0.536
14/06/2020,405,724,0.559
15/06/2020,433,727,0.596
16/06/2020,418,734,0.569
17/06/2020,439,749,0.586
18/06/2020,454,764,0.594
19/06/2020,445,774,0.575
20/06/2020,482,766,0.629
21/06/2020,501,771,0.650
22/06/2020,529,771,0.686
23/06/2020,526,771,0.682
24/06/2020,530,812,0.653
25/06/2020,575,826,0.696
26/06/2020,617,883,0.699
27/06/2020,637,911,0.699
28/06/2020,670,939,0.714
29/06/2020,691,942,0.734
30/06/2020,694,957,0.725
1/7/2020,729,988,0.738
2/7/2020,748,966,0.774
3/7/2020,792,993,0.798
4/7/2020,811,998,0.813
5/7/2020,849,1.013,0.838
6/7/2020,880,1.039,0.847
7/7/2020,879,1.058,0.831
8/7/2020,903,1.112,0.812
9/7/2020,942,1.106,0.852
10/7/2020,977,1.144,0.854
11/7/2020,987,1.132,0.872
12/7/2020,1.044,1.161,0.899
13/07/2020,1.083,1.187,0.912
14/07/2020,1.106,1.239,0.893
15/07/2020,1.164,1.296,0.898
16/07/2020,1.167,1.295,0.901
17/07/2020,1.183,1.303,0.908
18/07/2020,1.214,1.335,0.909
19/07/2020,1.23,1.342,0.917
20/07/2020,1.24,1.355,0.915
21/07/2020,1.278,1.394,0.917
22/07/2020,1.289,1.407,0.916
23/07/2020,1.291,1.409,0.916
24/07/2020,1.345,1.446,0.932
25/07/2020,1.324,1.447,0.915
26/07/2020,1.356,1.455,0.932
27/07/2020,1.349,1.479,0.912
28/07/2020,1.358,1.503,0.904
29/07/2020,1.356,1.533,0.885
30/07/2020,1.384,1.553,0.891
31/07/2020,1.398,1.566,0.893
1/8/2020,1.426,1.586,0.899
2/8/2020,1.412,1.604,0.883
3/8/2020,1.45,1.633,0.888
4/8/2020,1.446,1.621,0.892
5/8/2020,1.46,1.635,0.893
6/8/2020,1.451,1.649,0.880
7/8/2020,1.473,1.671,0.882
8/8/2020,1.485,1.684,0.882
9/8/2020,1.499,1.683,0.897
10/8/2020,1.515,1.703,0.890
11/8/2020,1.505,1.717,0.877
12/8/2020,1.517,1.728,0.878
13/08/2020,1.514,1.742,0.869
14/08/2020,1.502,1.742,0.862
15/08/2020,1.537,1.774,0.866
16/08/2020,1.496,1.774,0.844
17/08/2020,1.493,1.773,0.842
18/08/2020,1.464,1.787,0.819
19/08/2020,1.461,1.786,0.818
20/08/2020,1.458,1.788,0.815
21/08/2020,1.414,1.808,0.782
22/08/2020,1.365,1.813,0.753
23/08/2020,1.406,1.811,0.776
24/08/2020,1.42,1.816,0.782
25/08/2020,1.403,1.818,0.772
26/08/2020,1.383,1.828,0.757
27/08/2020,1.396,1.829,0.763
28/08/2020,1.362,1.824,0.747
29/08/2020,1.338,1.83,0.731
30/08/2020,1.328,1.834,0.724
31/08/2020,1.334,1.857,0.718
1/9/2020,1.28,1.858,0.689
2/9/2020,1.259,1.86,0.677
3/9/2020,1.241,1.858,0.668
4/9/2020,1.189,1.873,0.635
5/9/2020,1.198,1.875,0.639
6/9/2020,1.19,1.872,0.636
7/9/2020,1.174,1.882,0.624
8/9/2020,1.118,1.874,0.597
9/9/2020,1.123,1.875,0.599
10/9/2020,1.138,1.838,0.619
11/9/2020,1.064,1.823,0.584
12/9/2020,1.064,1.823,0.584
13/09/2020,1.053,1.824,0.577
14/09/2020,1.042,1.828,0.570
15/09/2020,1.006,1.822,0.552
16/09/2020,1.028,1.8,0.571
17/09/2020,986,1.8,0.548
18/09/2020,981,1.792,0.547
19/09/2020,968,1.802,0.537
20/09/2020,991,1.806,0.549
21/09/2020,978,1.794,0.545
22/09/2020,943,1.799,0.524
23/09/2020,936,1.779,0.526
24/09/2020,940,1.763,0.533
25/09/2020,880,1.756,0.501
26/09/2020,857,1.753,0.489
27/09/2020,812,1.747,0.465
28/09/2020,854,1.755,0.487
29/09/2020,838,1.73,0.484
30/09/2020,810,1.754,0.462
1/10/2020,814,1.68,0.485
2/10/2020,809,1.673,0.484
3/10/2020,786,1.656,0.475
4/10/2020,793,1.656,0.479
5/10/2020,808,1.666,0.485
6/10/2020,833,1.684,0.494
7/10/2020,821,1.703,0.482
8/10/2020,785,1.7,0.462
9/10/2020,804,1.69,0.476
10/10/2020,802,1.689,0.475
11/10/2020,806,1.689,0.477
12/10/2020,792,1.676,0.473
13/10/2020,783,1.678,0.467
14/10/2020,786,1.678,0.468
15/10/2020,793,1.668,0.475
16/10/2020,782,1.646,0.475
17/10/2020,790,1.644,0.485
18/10/2020,800,1.649,0.485
19/10/2020,817,1.65,0.495
20/10/2020,818,1.65,0.496
21/10/2020,817,1.641,0.498
22/10/2020,838,1.648,0.509
23/10/2020,843,1.648,0.512
24/10/2020,822,1.643,0.503
25/10/2020,833,1.643,0.507
26/10/2020,831,1.645,0.505
27/10/2020,821,1.651,0.497
28/10/2020,785,1.655,0.474
29/10/2020,831,1.645,0.505
30/10/2020,842,1.66,0.507
31/10/2020,849,1.663,0.515
1/11/2020,831,1.654,0.502
2/11/2020,825,1.657,0.498
3/11/2020,844,1.657,0.509
4/11/2020,806,1.656,0.487
5/11/2020,801,1.655,0.484
6/11/2020,782,1.656,0.472
7/11/2020,801,1.651,0.485
8/11/2020,793,1.651,0.483
9/11/2020,792,1.655,0.479
10/11/2020,767,1.666,0.464
11/11/2020,784,1.628,0.482
12/11/2020,820,1.628,0.504
13/11/2020,757,1.623,0.466
14/11/2020,772,1.646,0.469
15/11/2020,776,1.628,0.477
16/11/2020,762,1.621,0.471
17/11/2020,784,1.622,0.483
18/11/2020,790,1.634,0.484
19/11/2020,790,1.628,0.485
20/11/2020,779,1.625,0.479
21/11/2020,797,1.62,0.492
22/11/2020,822,1.621,0.507
23/11/2020,805,1.618,0.498
24/11/2020,834,1.619,0.515
25/11/2020,806,1.621,0.497
26/11/2020,795,1.621,0.494
27/11/2020,769,1.599,0.489
28/11/2020,812,1.613,0.503
29/11/2020,822,1.613,0.510
30/11/2020,826,1.603,0.515
1/12/2020,840,1.611,0.521
2/12/2020,834,1.6,0.521
3/12/2020,826,1.6,0.516
4/12/2020,831,1.582,0.525
5/12/2020,808,1.582,0.517
6/12/2020,823,1.579,0.521
7/12/2020,820,1.579,0.519
8/12/2020,826,1.579,0.523
9/12/2020,844,1.577,0.535
10/12/2020,838,1.569,0.534
11/12/2020,865,1.573,0.550
12/12/2020,881,1.571,0.568
13/12/2020,904,1.574,0.574
14/12/2020,882,1.577,0.559
15/12/2020,920,1.575,0.584
16/12/2020,932,1.595,0.584
17/12/2020,973,1.628,0.598
18/12/2020,953,1.636,0.583
19/12/2020,987,1.663,0.594
20/12/2020,1.002,1.65,0.607
21/12/2020,1.006,1.645,0.612
22/12/2020,1.035,1.654,0.626
23/12/2020,1.075,1.661,0.647
24/12/2020,1.084,1.658,0.654
25/12/2020,1.099,1.674,0.657
26/12/2020,1.145,1.673,0.684
27/12/2020,1.192,1.674,0.712
28/12/2020,1.22,1.68,0.726
29/12/2020,1.235,1.688,0.732
30/12/2020,1.286,1.718,0.749
31/12/2020,1.288,1.721,0.748
1/1/2021,1.303,1.733,0.752
2/1/2021,1.34,1.752,0.765
3/1/2021,1.362,1.752,0.777
4/1/2021,1.395,1.752,0.796
5/1/2021,1.435,1.754,0.818
6/1/2021,1.481,1.765,0.839
7/1/2021,1.539,1.786,0.862
8/1/2021,1.624,1.827,0.889
9/1/2021,1.688,1.84,0.917
10/1/2021,1.719,1.878,0.915
11/1/2021,1.749,1.87,0.935
12/1/2021,1.743,1.887,0.924
13/01/2021,1.776,1.915,0.927
14/01/2021,1.809,1.939,0.933
15/01/2021,1.818,1.939,0.938
16/01/2021,1.812,1.953,0.928
17/01/2021,1.834,1.967,0.932
18/01/2021,1.862,1.978,0.941
19/01/2021,1.867,2.003,0.932
20/01/2021,1.886,2.008,0.939
21/01/2021,1.867,2.003,0.932
22/01/2021,1.884,2.015,0.935
23/01/2021,1.868,2.026,0.922
24/01/2021,1.879,2.023,0.929
25/01/2021,1.878,2.023,0.928
26/01/2021,1.861,2.023,0.920
27/01/2021,1.825,2.011,0.908
28/01/2021,1.789,2.014,0.888
29/01/2021,1.741,2.015,0.864
30/01/2021,1.681,2.017,0.833
31/01/2021,1.654,2.017,0.820
1/2/2021,1.622,2.003,0.810
2/2/2021,1.58,2,0.790
3/2/2021,1.527,1.985,0.769
4/2/2021,1.462,1.965,0.744
5/2/2021,1.436,1.947,0.738
6/2/2021,1.401,1.925,0.728
7/2/2021,1.382,1.909,0.724
8/2/2021,1.351,1.885,0.717
9/2/2021,1.307,1.863,0.702
10/2/2021,1.28,1.846,0.693
11/2/2021,1.232,1.841,0.669
12/2/2021,1.233,1.841,0.670
13/02/2021,1.19,1.81,0.658
14/02/2021,1.167,1.811,0.644
15/02/2021,1.145,1.766,0.648
16/02/2021,1.125,1.766,0.637
17/02/2021,1.097,1.744,0.629
18/02/2021,1.036,1.735,0.597
19/02/2021,1.049,1.735,0.605
20/02/2021,1.004,1.724,0.582
21/02/2021,1.021,1.727,0.591
22/02/2021,1.01,1.728,0.585
23/02/2021,981,1.718,0.571
24/02/2021,955,1.706,0.560
25/02/2021,917,1.694,0.541
26/02/2021,942,1.692,0.557
27/02/2021,941,1.678,0.568
28/02/2021,937,1.684,0.568
1/3/2021,950,1652,0.575
2/3/2021,915,1629,0.562
3/3/2021,900,1605,0.567
4/3/2021,899,1611,0.558
5/3/2021,877,1600,0.548
6/3/2021,857,1596,0.537
7/3/2021,874,1595,0.548
8/3/2021,860,1593,0.540
9/3/2021,836,1566,0.534
10/3/2021,768,1546,0.497
11/3/2021,794,1517,0.523
12/3/2021,789,1512,0.522
13/03/2021,789,1513,0.522
14/03/2021,773,1515,0.512
15/03/2021,785,1512,0.519
16/03/2021,782,1507,0.519
17/03/2021,762,1484,0.514
18/03/2021,756,1459,0.518
19/03/2021,777,1455,0.534
20/03/2021,765,1452,0.527
21/03/2021,797,1440,0.554
22/03/2021,797,1434,0.556
23/03/2021,795,1429,0.556
24/03/2021,793,1443,0.550
25/03/2021,772,1432,0.539
26/03/2021,789,1434,0.552
27/03/2021,786,1441,0.546
28/03/2021,779,1457,0.535
29/03/2021,788,1458,0.545
30/03/2021,814,1464,0.556
31/03/2021,829,1460,0.568
1/4/2021,860,1461,0.589
2/4/2021,892,1470,0.607
3/4/2021,917,1480,0.620
4/4/2021,956,1479,0.646
5/4/2021,1007,1496,0.673
6/4/2021,1018,1522,0.669
7/4/2021,1051,1554,0.676
8/4/2021,1076,1585,0.679
9/4/2021,1124,1631,0.689
10/4/2021,1156,1656,0.698
11/4/2021,1206,1663,0.725
12/4/2021,1248,1672,0.746
13/04/2021,1284,1717,0.748
14/04/2021,1322,1737,0.761
15/04/2021,1390,1775,0.783
16/04/2021,1442,1802,0.802
17/04/2021,1458,1828,0.798
18/04/2021,1553,1856,0.837
19/04/2021,1594,1855,0.859
20/04/2021,1632,1878,0.869
21/04/2021,1687,1915,0.889
22/04/2021,1754,1950,0.900
23/04/2021,1776,1986,0.894
24/04/2021,1792,2001,0.896
25/04/2021,1818,1997,0.910
26/04/2021,1828,2004,0.912
27/04/2021,1854,2020,0.918
